annual population survey - workplace analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 April 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2018-Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,mnemonic,"T12a:1 (1 Managers, Directors and Senior Officials (SOC2010) : All people )",Conf,"T12a:2 (1 Managers, Directors and Senior Officials (SOC2010) : Self-employment )",Conf,"T12a:3 (1 Managers, Directors and Senior Officials (SOC2010) : Other flexibility* )",Conf,T12a:4 (2 Professional Occupations (SOC2010) : All people ),Conf,T12a:5 (2 Professional Occupations (SOC2010) : Self-employment ),Conf,T12a:6 (2 Professional Occupations (SOC2010) : Other flexibility* ),Conf,T12a:7 (3 Associate Prof & Tech Occupations (SOC2010) : All people ),Conf,T12a:8 (3 Associate Prof & Tech Occupations (SOC2010) : Self-employment ),Conf,T12a:9 (3 Associate Prof & Tech Occupations (SOC2010) : Other flexibility* ),Conf,T12a:10 (4 Administrative and Secretarial Occupations (SOC2010) : All people ),Conf,T12a:11 (4 Administrative and Secretarial Occupations (SOC2010) : Self-employment ),Conf,T12a:12 (4 Administrative and Secretarial Occupations (SOC2010) : Other flexibility* ),Conf,T12a:13 (5 Skilled Trades Occupations (SOC2010) : All people ),Conf,T12a:14 (5 Skilled Trades Occupations (SOC2010) : Self-employment ),Conf,T12a:15 (5 Skilled Trades Occupations (SOC2010) : Other flexibility* ),Conf,"T12a:16 (6 Caring, Leisure and Other Service Occupations (SOC2010) : All people )",Conf,"T12a:17 (6 Caring, Leisure and Other Service Occupations (SOC2010) : Self-employment )",Conf,"T12a:18 (6 Caring, Leisure and Other Service Occupations (SOC2010) : Other flexibility* )",Conf,T12a:19 (7 Sales and Customer Service Occupations (SOC2010) : All people ),Conf,T12a:20 (7 Sales and Customer Service Occupations (SOC2010) : Self-employment ),Conf,T12a:21 (7 Sales and Customer Service Occupations (SOC2010) : Other flexibility* ),Conf,"T12a:22 (8 Process, Plant and Machine Operatives (SOC2010) : All people )",Conf,"T12a:23 (8 Process, Plant and Machine Operatives (SOC2010) : Self-employment )",Conf,"T12a:24 (8 Process, Plant and Machine Operatives (SOC2010) : Other flexibility* )",Conf,T12a:25 (9 Elementary occupations (SOC2010) : All people ),Conf,T12a:26 (9 Elementary occupations (SOC2010) : Self-employment ),Conf,T12a:27 (9 Elementary occupations (SOC2010) : Other flexibility* ),Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uacounty19:Darlington,E06000005,4100,1000,~,*,!,!,11500,1700,1200,500,800,*,6300,1200,1200,500,!,!,8600,1400,!,!,~,*,5200,1100,900,500,!,!,5000,1100,~,*,500,*,5700,1200,!,!,!,!,3200,900,~,*,!,!,5100,1100,700,*,~,*
uacounty19:County Durham,E06000047,17900,4800,5900,2700,!,!,33400,6500,2600,1800,2400,1800,24700,5600,4700,2400,1600,*,20200,5100,!,!,1100,*,30000,6200,12200,3900,900,*,23000,5400,2400,*,1500,*,11900,3900,!,!,!,!,18200,4800,2100,*,1900,*,23100,5400,!,!,1000,*
uacounty19:Hartlepool,E06000001,3300,900,600,400,!,!,4900,1100,~,*,!,!,3600,900,~,*,800,*,3600,900,~,*,~,*,3000,800,700,400,!,!,4700,1000,600,*,!,!,3600,900,!,!,!,!,2700,800,~,*,!,!,3700,900,~,*,~,*
uacounty19:Middlesbrough,E06000002,5200,1300,1700,700,~,*,15200,2100,700,*,800,*,8300,1600,700,*,!,!,8200,1600,~,*,~,*,6500,1400,1700,700,500,*,10000,1700,600,*,!,!,6600,1400,!,!,600,*,6800,1400,1800,700,!,!,9700,1700,~,*,~,*
uacounty19:Northumberland,E06000057,10300,2800,3100,1500,!,!,22500,4200,2400,1300,700,*,12000,3000,3000,1500,1400,*,11700,3000,1100,*,900,*,20600,4000,9700,2700,!,!,12100,3000,1700,*,!,!,9600,2700,500,*,!,!,6700,2300,800,*,!,!,17000,3600,1300,*,2200,*
uacounty19:Redcar and Cleveland,E06000003,3200,1000,800,500,!,!,5400,1300,700,*,!,!,4100,1200,700,*,!,!,2300,900,!,!,!,!,4100,1200,1800,800,!,!,5100,1300,1300,700,!,!,1700,700,!,!,!,!,2900,1000,~,*,!,!,3700,1100,~,*,~,*
uacounty19:Stockton-on-Tees,E06000004,7000,1900,1600,900,!,!,14800,2700,2100,1000,~,*,10300,2300,500,*,!,!,8800,2100,500,*,~,*,8500,2100,2200,1100,~,*,8900,2100,700,*,1000,*,7900,2000,!,!,600,*,5100,1600,600,*,~,*,9800,2200,~,*,~,*
uacounty19:Gateshead,E08000037,8300,2100,1300,*,!,!,19200,3200,1500,900,600,*,11800,2500,1100,*,1700,*,8300,2100,600,*,!,!,9700,2300,1400,*,!,!,8200,2100,1300,*,!,!,9200,2200,!,!,!,!,8300,2100,1000,*,!,!,13600,2700,!,!,800,*
uacounty19:Newcastle upon Tyne,E08000021,19500,4300,4000,1900,!,!,51800,7000,5900,2400,3400,1800,30100,5300,3200,1800,900,*,31600,5500,900,*,1400,*,17100,4000,4000,1900,!,!,16200,3900,900,*,1700,*,20500,4400,!,!,!,!,11800,3300,3800,1900,!,!,19500,4300,!,!,2600,1600
