annual survey of hours and earnings  - resident analysis,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 20 April 2020],,,,,,,
Analysis   :,standard,,,,,,
Date       :,2019,,,,,,
Item Name  :,Median,,,,,,
pay        :,Annual pay - gross,,,,,,
Confidence :,Standard error as a percentage of the figure,,,,,,
,,,,,,,
local authority,mnemonic,Total,Conf %,Full Time Workers,Conf %,Part Time Workers,Conf %
,,,,,,,
Darlington,E06000005,23541,8.5,27690,7.8,11670,11
County Durham,E06000047,24000,3.3,27557,3.1,10825,6.7
Hartlepool,E06000001,22258,12,26471,7.3,#,#
Middlesbrough,E06000002,21080,9.7,26040,-,8583,13
Northumberland,E06000057,21943,8.9,27248,12,11217,7.8
Redcar and Cleveland,E06000003,20928,10,25515,12,#,#
Stockton-on-Tees,E06000004,22973,8.2,29146,5.5,#,#
Gateshead,E08000037,22144,5.5,26304,5.4,9424,12
Newcastle upon Tyne,E08000021,23502,10,28044,9.7,9776,14
North Tyneside,E08000022,23587,14,29579,6.2,#,-
South Tyneside,E08000023,20797,7.5,25999,7.9,9217,15
Sunderland,E08000024,21665,4,25444,4.2,10901,7.9
Blackburn with Darwen,E06000008,21152,5.4,25107,6.7,11085,11
Blackpool,E06000009,19460,17,24580,18,8854,13
Cheshire East,E06000049,25696,5.1,31940,4.7,11471,10
Cheshire West and Chester,E06000050,25451,6,31146,4.7,9953,13
Halton,E06000006,22695,11,27539,-,10107,12
Warrington,E06000007,25177,6.3,30811,6.4,11524,17
Cumbria,E10000006,24003,5.7,29424,8.9,10795,7.1
Bolton,E08000001,22148,5.9,26476,4.6,11214,10
Bury,E08000002,26184,8.7,29650,5.3,#,#
Manchester,E08000003,22306,7.8,26483,6.9,9477,19
Oldham,E08000004,21188,7.1,25335,4.2,10782,20
Rochdale,E08000005,21900,5.1,26294,6.2,10324,12
Salford,E08000006,22479,7.5,26910,16,9772,12
Stockport,E08000007,25829,9.7,32092,9.8,10901,8.2
Tameside,E08000008,22674,7.4,25769,4.4,#,#
Trafford,E08000009,28718,7.7,33648,9.1,11981,14
Wigan,E08000010,22888,8.3,26984,7,#,#
Lancashire,E10000017,23377,2.9,28467,3.3,11279,5.1
Knowsley,E08000011,22695,6.1,25995,11,11010,12
Liverpool,E08000012,23314,4,28819,3.9,10351,6.6
Sefton,E08000014,23520,6.6,28013,6.6,9629,9.5
St. Helens,E08000013,24644,8.4,28795,5.6,10238,11
Wirral,E08000015,24172,4.7,29500,4.9,11147,7.8
East Riding of Yorkshire,E06000011,24345,5.6,30397,4.8,10398,8
"Kingston upon Hull, City of",E06000010,20682,5.2,25443,4.2,9982,6.6
North East Lincolnshire,E06000012,21596,8.2,27484,7.9,8631,8.5
North Lincolnshire,E06000013,22009,8,28374,7,10632,9.1
York,E06000014,23965,9.7,28671,12,10914,9.9
North Yorkshire,E10000023,23803,5.4,30000,4,10125,12
Barnsley,E08000016,22032,4.5,26464,5.7,10262,9.4
Doncaster,E08000017,22639,4.9,27406,4.4,10214,8.2
Rotherham,E08000018,21201,6.1,26328,4.9,10056,8.5
Sheffield,E08000019,23295,5.2,28403,5,10540,8
Bradford,E08000032,21900,5.2,25990,4.5,10591,13
Calderdale,E08000033,23209,6.6,28490,5.4,11769,8.8
Kirklees,E08000034,22811,5.1,27458,4,10261,13
Leeds,E08000035,24100,5.2,28848,3.9,11103,15
Wakefield,E08000036,22368,5.1,26524,3.8,10802,11
Derby,E06000015,25808,5.6,30459,6,10141,10
Leicester,E06000016,20753,4.4,23745,6.6,10179,8
Nottingham,E06000018,20302,7.3,25105,4.9,#,#
Rutland,E06000017,25654,13,29969,12,#,-
Derbyshire,E10000007,23482,4.3,28875,3,10033,6.9
Leicestershire,E10000018,24673,4.5,30490,4.2,10068,5.8
Lincolnshire,E10000019,22102,4,27287,4.4,10296,7.8
Northamptonshire,E10000021,25575,4.7,29635,3.6,10115,9.6
Nottinghamshire,E10000024,23382,3,28612,3.3,10820,5.6
"Herefordshire, County of",E06000019,21519,7.9,26247,14,10333,17
Shropshire,E06000051,23709,6.1,29731,6.6,10321,8.7
Stoke-on-Trent,E06000021,22143,8.4,25424,8.5,10721,10
Telford and Wrekin,E06000020,22490,8.5,27709,7.5,9556,8.9
Staffordshire,E10000028,24561,4.6,29281,2.9,10478,13
Warwickshire,E10000031,25455,4.8,31819,4,10595,11
Birmingham,E08000025,22519,4.8,27426,3.9,9852,11
Coventry,E08000026,24214,4.9,28707,5.3,9722,9.6
Dudley,E08000027,24938,4,29122,4.6,10999,6.3
Sandwell,E08000028,21345,5.8,24840,3.5,10692,8.7
Solihull,E08000029,27551,7.2,34149,7.2,11523,12
Walsall,E08000030,22034,6.9,26345,9.1,11023,8.5
Wolverhampton,E08000031,22212,5.3,25463,6,10426,8.6
Worcestershire,E10000034,23633,3.8,29734,4.1,10608,5.3
Bedford,E06000055,25518,8,31614,5.3,9997,13
Central Bedfordshire,E06000056,30018,5.2,34857,4.3,11573,8.8
Luton,E06000032,24565,10,29940,9.8,9897,15
Peterborough,E06000031,22847,5.5,27236,4.9,9813,8.5
Southend-on-Sea,E06000033,27087,7,32250,7.1,11414,10
Thurrock,E06000034,26913,11,31572,5.5,#,#
Cambridgeshire,E10000003,27821,4.4,33263,3.5,10955,15
Essex,E10000012,26321,3.9,33196,3.2,10194,5.2
Hertfordshire,E10000015,29352,2.9,35447,2.6,10651,6.4
Norfolk,E10000020,22867,4,27477,3.4,10621,5
Suffolk,E10000029,23591,4.2,28884,4.1,10960,5.9
Camden,E09000007,34467,11,42125,12,#,#
City of London,E09000001,#,-,#,-,10041,-
Hackney,E09000012,28766,6.4,35926,6,9022,12
Hammersmith and Fulham,E09000013,38661,8.5,41706,8.9,#,#
Haringey,E09000014,29151,6,35769,4.9,9772,10
Islington,E09000019,37654,15,43533,16,13164,16
Kensington and Chelsea,E09000020,36776,14,46562,20,#,#
Lambeth,E09000022,33096,6.4,36896,6.4,11214,12
Lewisham,E09000023,28993,5.5,33830,5.2,11582,15
Newham,E09000025,26122,5.4,31694,5.7,11410,6.6
Southwark,E09000028,35015,5.9,39183,4.7,10585,9.8
Tower Hamlets,E09000030,38000,7.4,42602,12,9772,11
Wandsworth,E09000032,39077,8.5,43470,9.2,10919,15
Westminster,E09000033,37400,19,#,#,10683,20
Barking and Dagenham,E09000002,25416,6.7,29454,6,9903,12
Barnet,E09000003,29469,11,36287,8.1,#,#
Bexley,E09000004,30502,6.9,36657,5.6,11295,14
Brent,E09000005,26346,11,31664,5.3,#,#
Bromley,E09000006,33695,16,41009,14,10427,11
Croydon,E09000008,29804,6.5,34890,4.4,11045,17
Ealing,E09000009,27893,4.9,31676,8.5,9830,10
Enfield,E09000010,25511,10,32903,12,9772,9.7
Greenwich,E09000011,30441,5.8,36015,9.5,11124,13
