DC2101EW - Ethnic group by sex by age,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 7 May 2020],,,,,,,
Population :,All usual residents,,,,,,
Units      :,Persons,,,,,,
Date       :,2011,,,,,,
Sex        :,All persons,,,,,,
Age        :,All categories: Age,,,,,,
,,,,,,,
local authority: county / unitary (prior to April 2015),mnemonic,All categories: Ethnic group,White: Total,Mixed/multiple ethnic group: Total,Asian/Asian British: Total,Black/African/Caribbean/Black British: Total,Other ethnic group: Total
,,,,,,,
Darlington,E06000005,105564,101595,1146,2205,357,261
County Durham,E06000047,513242,503769,3094,4856,701,822
Hartlepool,E06000001,92028,89899,550,1304,170,105
Middlesbrough,E06000002,138412,122055,2362,10768,1731,1496
Northumberland,E06000057,316028,311066,1692,2658,338,274
Redcar and Cleveland,E06000003,135177,133203,853,869,122,130
Stockton-on-Tees,E06000004,191610,181299,1997,6632,1133,549
Gateshead,E08000037,200214,192742,1558,3738,1081,1095
Newcastle upon Tyne,E08000021,280177,239533,4279,27107,5160,4098
North Tyneside,E08000022,200801,194025,1815,3815,734,412
South Tyneside,E08000023,148127,142099,1325,3311,420,972
Sunderland,E08000024,275506,264282,1778,7336,1273,837
Blackburn with Darwen,E06000008,147489,102009,1823,41494,933,1230
Blackpool,E06000009,142065,137339,1753,2282,346,345
Cheshire East,E06000049,370127,357940,3873,6060,1402,852
Cheshire West and Chester,E06000050,329608,321025,3050,4097,908,528
Halton,E06000006,125746,123041,1356,943,260,146
Warrington,E06000007,202228,193992,2144,4911,694,487
Cumbria,E10000006,499858,492257,2504,4066,579,452
Bolton,E08000001,276786,226645,4892,38749,4652,1848
Bury,E08000002,185060,165032,3365,13407,1893,1363
Manchester,E08000003,503127,335109,23161,85986,43484,15387
Oldham,E08000004,224897,174326,4057,43165,2797,552
Rochdale,E08000005,211699,172874,3569,31630,2770,856
Salford,E08000006,233933,210862,4616,9429,6541,2485
Stockport,E08000007,283275,260819,5104,13762,1958,1632
Tameside,E08000008,219324,199429,3159,14553,1784,399
Trafford,E08000009,226578,193834,6031,17973,6540,2200
Wigan,E08000010,317849,309193,2756,3519,1678,703
Lancashire,E10000017,1171339,1080687,12724,71054,4098,2776
Knowsley,E08000011,145893,141858,1913,1403,505,214
Liverpool,E08000012,466415,414671,11756,19403,12308,8277
Sefton,E08000014,273790,266741,2820,2719,796,714
St. Helens,E08000013,175308,171877,1179,1764,248,240
Wirral,E08000015,319783,310156,3286,5116,695,530
East Riding of Yorkshire,E06000011,334179,327789,2301,2961,598,530
"Kingston upon Hull, City of",E06000010,256406,241321,3454,6471,2996,2164
North East Lincolnshire,E06000012,159616,155421,1186,2129,411,469
North Lincolnshire,E06000013,167446,160748,1244,4549,494,411
York,E06000014,198051,186731,2413,6740,1194,973
North Yorkshire,E10000023,598376,582475,5043,7356,2424,1078
Barnsley,E08000016,231221,226285,1630,1661,1221,424
Doncaster,E08000017,302402,288066,3321,7614,2337,1064
Rotherham,E08000018,257280,240758,2551,10551,2112,1308
Sheffield,E08000019,552698,462544,13289,44385,20082,12398
Bradford,E08000032,522452,352317,12979,140149,9267,7740
Calderdale,E08000033,203826,182787,2797,16875,899,468
Kirklees,E08000034,422458,334270,9790,67782,7905,2711
Leeds,E08000035,751485,639487,19632,58243,25893,8230
Wakefield,E08000036,325837,310957,2928,8498,2512,942
Derby,E06000015,248752,199751,7232,31095,7320,3354
Leicester,E06000016,329839,166636,11580,122470,20585,8568
Nottingham,E06000018,305680,218698,20265,40039,22185,4493
Rutland,E06000017,37369,36301,389,365,251,63
Derbyshire,E10000007,769686,750094,7119,8795,2770,908
Leicestershire,E10000018,650489,594767,8551,40777,3787,2607
Lincolnshire,E10000019,713653,696484,6190,7316,2561,1102
Northamptonshire,E10000021,691952,632822,14182,25427,16923,2598
Nottinghamshire,E10000024,785802,750803,10716,17139,5102,2042
"Herefordshire, County of",E06000019,183477,180169,1270,1439,331,268
Shropshire,E06000051,306129,299874,2168,3089,580,418
Stoke-on-Trent,E06000021,249008,220712,4491,18442,3741,1622
Telford and Wrekin,E06000020,166641,154415,2983,6991,1779,473
Staffordshire,E10000028,848489,811615,9604,20656,4810,1804
Warwickshire,E10000031,545474,505688,7949,25096,4443,2298
Birmingham,E08000025,1073045,621636,47605,285640,96360,21804
Coventry,E08000026,316960,234029,8230,51598,17764,5339
Dudley,E08000027,312925,281607,5758,18942,4671,1947
Sandwell,E08000028,308063,215471,10199,59258,18357,4778
Solihull,E08000029,206674,184244,4404,13561,3239,1226
Walsall,E08000030,269323,212469,7224,41022,6369,2239
Wolverhampton,E08000031,249470,169682,12784,44960,17309,4735
Worcestershire,E10000034,566169,542058,7045,13741,2372,953
Bedford,E06000055,157479,126846,5386,17932,6202,1113
Central Bedfordshire,E06000056,254381,238722,4789,6402,3614,854
Luton,E06000032,203201,111079,8281,60952,19909,2980
Peterborough,E06000031,183631,151544,4948,21492,4164,1483
Southend-on-Sea,E06000033,173658,159023,3651,6440,3647,897
Thurrock,E06000034,157705,135429,3099,5927,12323,927
Cambridgeshire,E10000003,621210,574987,11081,25638,6010,3494
Essex,E10000012,1393587,1313856,20885,34860,18709,5277
Hertfordshire,E10000015,1116062,977495,27497,72581,31401,7088
Norfolk,E10000020,857888,828018,10027,13017,4609,2217
Suffolk,E10000029,728163,693195,12472,13131,6854,2511
Camden,E09000007,220338,146055,12322,35446,18060,8455
City of London,E09000001,7375,5799,289,940,193,154
Hackney,E09000012,246270,134617,15869,25867,56858,13059
Hammersmith and Fulham,E09000013,182493,124222,10044,16635,21505,10087
Haringey,E09000014,254926,154343,16548,24150,47830,12055
Islington,E09000019,206125,140515,13339,19034,26294,6943
Kensington and Chelsea,E09000020,158649,112017,8986,15861,10333,11452
Lambeth,E09000022,303086,173025,23160,20938,78542,7421
Lewisham,E09000023,275885,147686,20472,25534,74942,7251
Newham,E09000025,307984,89216,13945,133895,60256,10672
Southwark,E09000028,288283,156349,17778,27192,77511,9453
Tower Hamlets,E09000030,254096,114819,10360,104501,18629,5787
Wandsworth,E09000032,306995,219216,15241,33338,32756,6444
Westminster,E09000033,219396,135330,11395,31862,16472,24337
Barking and Dagenham,E09000002,185911,108386,7878,29594,37140,2913
Barnet,E09000003,356386,228553,17169,65918,27431,17315
Bexley,E09000004,231997,189962,5395,15243,19624,1773
Brent,E09000005,311215,112880,15775,105986,58632,17942
Bromley,E09000006,309392,260870,10897,16067,18686,2872
Croydon,E09000008,363378,200195,23895,59627,73256,6405
Ealing,E09000009,338449,165818,15066,100439,36860,20266
Enfield,E09000010,312466,190640,17183,34893,53687,16063
Greenwich,E09000011,254557,159002,12274,29894,48655,4732
Harrow,E09000015,239056,100991,9499,101808,19708,7050
Havering,E09000016,237232,207949,4933,11545,11481,1324
Hillingdon,E09000017,273936,166031,10479,69253,20082,8091
Hounslow,E09000018,253957,130505,10349,87257,16813,9033
Kingston upon Thames,E09000021,160060,119219,6269,26152,4021,4399
Merton,E09000024,199693,129606,9334,36143,20811,3799
Redbridge,E09000026,278970,118646,11456,116503,24845,7520
Richmond upon Thames,E09000027,186990,160725,6780,13607,2816,3062
