QS406EW - Household size,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 April 2020],,,,,,,,,,
Population :,All household spaces with at least one usual resident,,,,,,,,,
Units      :,Household spaces,,,,,,,,,
Date       :,2011,,,,,,,,,
Rural Urban:,Total,,,,,,,,,
,,,,,,,,,,
Area,mnemonic,All categories: Household size,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
,,,,,,,,,,
uacounty09:Darlington,E06000005,46670,15101,16657,7191,5352,1717,507,98,47
uacounty09:County Durham,E06000047,223803,70007,80984,36607,26074,7430,2118,404,179
uacounty09:Hartlepool,E06000001,40434,13392,13478,6629,4759,1526,469,107,74
uacounty09:Middlesbrough,E06000002,57203,17708,18554,9221,7220,2992,1084,239,185
uacounty09:Northumberland,E06000057,138534,41406,53502,20775,16422,4881,1232,226,90
uacounty09:Redcar and Cleveland,E06000003,59605,18735,21165,9738,7119,2132,557,117,42
uacounty09:Stockton-on-Tees,E06000004,79159,21986,27938,13583,10704,3700,925,203,120
uacounty09:Gateshead,E08000037,89154,29313,31486,14011,10277,2924,771,190,182
uacounty09:Newcastle upon Tyne,E08000021,117153,40337,36432,17610,13872,5344,2574,573,411
uacounty09:North Tyneside,E08000022,91295,30960,31879,14107,10722,2785,689,98,55
uacounty09:South Tyneside,E08000023,67167,23459,22431,10798,7492,2209,583,123,72
uacounty09:Sunderland,E08000024,119758,38096,40549,20372,14665,4294,1328,269,185
uacounty09:Blackburn with Darwen,E06000008,57353,17419,17082,8808,7307,3741,1957,595,444
uacounty09:Blackpool,E06000009,64367,24446,20833,9345,6399,2321,743,171,109
uacounty09:Cheshire East,E06000049,159441,47328,57990,25266,20969,5888,1589,276,135
uacounty09:Cheshire West and Chester,E06000050,141442,41841,51108,22381,18383,5617,1631,324,157
uacounty09:Halton,E06000006,53312,15833,17938,9272,7130,2289,663,128,59
uacounty09:Warrington,E06000007,85140,24534,29885,14347,11868,3388,893,142,83
uacounty09:Cumbria,E10000006,222042,71740,82130,31605,26121,7868,2014,389,175
uacounty09:Bolton,E08000001,116371,37091,37513,18430,14570,5373,2306,628,460
uacounty09:Bury,E08000002,78113,24263,26003,12647,9981,3454,1187,321,257
uacounty09:Manchester,E08000003,204969,72255,61144,31456,21743,10226,5375,1527,1243
