"","Area.name","Area.code","Area.type","Specimen.date","Daily.lab.confirmed.cases","Cumulative.lab.confirmed.cases"
"1","York","E06000014","Upper tier local authority","2020-04-21",0,198
"2","Worcestershire","E10000034","Upper tier local authority","2020-04-21",0,963
"3","Wolverhampton","E08000031","Upper tier local authority","2020-04-21",0,613
"4","Wokingham","E06000041","Upper tier local authority","2020-04-21",0,283
"5","Wirral","E08000015","Upper tier local authority","2020-04-21",0,830
"6","Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-21",0,206
"7","Wiltshire","E06000054","Upper tier local authority","2020-04-21",1,397
"8","Wigan","E08000010","Upper tier local authority","2020-04-21",0,479
"9","Westminster","E09000033","Upper tier local authority","2020-04-21",0,567
"10","West Sussex","E10000032","Upper tier local authority","2020-04-21",0,910
"11","West Berkshire","E06000037","Upper tier local authority","2020-04-21",1,255
"12","Warwickshire","E10000031","Upper tier local authority","2020-04-21",0,906
"13","Warrington","E06000007","Upper tier local authority","2020-04-21",0,472
"14","Wandsworth","E09000032","Upper tier local authority","2020-04-21",0,860
"15","Waltham Forest","E09000031","Upper tier local authority","2020-04-21",0,663
"16","Walsall","E08000030","Upper tier local authority","2020-04-21",0,735
"17","Wakefield","E08000036","Upper tier local authority","2020-04-21",0,429
"18","Trafford","E08000009","Upper tier local authority","2020-04-21",0,486
"19","Tower Hamlets","E09000030","Upper tier local authority","2020-04-21",0,563
"20","Torbay","E06000027","Upper tier local authority","2020-04-21",3,161
"21","Thurrock","E06000034","Upper tier local authority","2020-04-21",0,236
"22","Telford and Wrekin","E06000020","Upper tier local authority","2020-04-21",0,194
"23","Tameside","E08000008","Upper tier local authority","2020-04-21",0,389
"24","Swindon","E06000030","Upper tier local authority","2020-04-21",0,299
"25","Sutton","E09000029","Upper tier local authority","2020-04-21",0,599
"26","Surrey","E10000030","Upper tier local authority","2020-04-21",0,2134
"27","Sunderland","E08000024","Upper tier local authority","2020-04-21",13,1009
"28","Suffolk","E10000029","Upper tier local authority","2020-04-21",0,715
"29","Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-21",10,325
"30","Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-21",0,249
"31","Stockport","E08000007","Upper tier local authority","2020-04-21",1,671
"32","Staffordshire","E10000028","Upper tier local authority","2020-04-21",7,1346
"33","St. Helens","E08000013","Upper tier local authority","2020-04-21",0,509
"34","Southwark","E09000028","Upper tier local authority","2020-04-21",0,1105
"35","Southend-on-Sea","E06000033","Upper tier local authority","2020-04-21",0,258
"36","Southampton","E06000045","Upper tier local authority","2020-04-21",2,382
"37","South Tyneside","E08000023","Upper tier local authority","2020-04-21",11,412
"38","South Gloucestershire","E06000025","Upper tier local authority","2020-04-21",1,288
"39","Somerset","E10000027","Upper tier local authority","2020-04-21",0,384
"40","Solihull","E08000029","Upper tier local authority","2020-04-21",0,455
"41","Slough","E06000039","Upper tier local authority","2020-04-21",0,325
"42","Shropshire","E06000051","Upper tier local authority","2020-04-21",0,366
"43","Sheffield","E08000019","Upper tier local authority","2020-04-21",16,1746
"44","Sefton","E08000014","Upper tier local authority","2020-04-21",0,690
"45","Sandwell","E08000028","Upper tier local authority","2020-04-21",0,805
"46","Salford","E08000006","Upper tier local authority","2020-04-21",0,487
"47","Rutland","E06000017","Upper tier local authority","2020-04-21",0,13
"48","Rotherham","E08000018","Upper tier local authority","2020-04-21",4,530
"49","Rochdale","E08000005","Upper tier local authority","2020-04-21",0,344
"50","Richmond upon Thames","E09000027","Upper tier local authority","2020-04-21",0,342
"51","Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-21",0,229
"52","Redbridge","E09000026","Upper tier local authority","2020-04-21",1,610
"53","Reading","E06000038","Upper tier local authority","2020-04-21",0,368
"54","Portsmouth","E06000044","Upper tier local authority","2020-04-21",0,238
"55","Plymouth","E06000026","Upper tier local authority","2020-04-21",4,227
"56","Peterborough","E06000031","Upper tier local authority","2020-04-21",0,155
"57","Oxfordshire","E10000025","Upper tier local authority","2020-04-21",0,1288
"58","Oldham","E08000004","Upper tier local authority","2020-04-21",0,495
"59","Nottinghamshire","E10000024","Upper tier local authority","2020-04-21",0,928
"60","Nottingham","E06000018","Upper tier local authority","2020-04-21",0,416
"61","Northumberland","E06000057","Upper tier local authority","2020-04-21",1,647
"62","Northamptonshire","E10000021","Upper tier local authority","2020-04-21",0,945
"63","North Yorkshire","E10000023","Upper tier local authority","2020-04-21",2,687
"64","North Tyneside","E08000022","Upper tier local authority","2020-04-21",1,408
"65","North Somerset","E06000024","Upper tier local authority","2020-04-21",0,175
"66","North Lincolnshire","E06000013","Upper tier local authority","2020-04-21",0,218
"67","North East Lincolnshire","E06000012","Upper tier local authority","2020-04-21",0,104
"68","Norfolk","E10000020","Upper tier local authority","2020-04-21",0,1118
"69","Newham","E09000025","Upper tier local authority","2020-04-21",3,885
"70","Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-21",2,766
"71","Milton Keynes","E06000042","Upper tier local authority","2020-04-21",0,395
"72","Middlesbrough","E06000002","Upper tier local authority","2020-04-21",0,413
"73","Merton","E09000024","Upper tier local authority","2020-04-21",0,602
"74","Medway","E06000035","Upper tier local authority","2020-04-21",1,526
"75","Manchester","E08000003","Upper tier local authority","2020-04-21",0,894
"76","Luton","E06000032","Upper tier local authority","2020-04-21",0,501
"77","Liverpool","E08000012","Upper tier local authority","2020-04-21",0,1210
"78","Lincolnshire","E10000019","Upper tier local authority","2020-04-21",1,669
"79","Lewisham","E09000023","Upper tier local authority","2020-04-21",7,837
