"","Area.name","Area.code","Area.type","Reporting.date","Daily.hospital.deaths","Cumulative.hospital.deaths"
"1","United Kingdom","K02000001","UK","2020-04-22",759,18100
"2","Wales","W92000004","Nation","2020-04-22",15,624
"3","Scotland","S92000003","Nation","2020-04-22",70,985
"4","Northern Ireland","N92000002","Nation","2020-04-22",13,220
"5","England","E92000001","Nation","2020-04-22",665,16271
"6","United Kingdom","K02000001","UK","2020-04-21",823,17337
"7","Wales","W92000004","Nation","2020-04-21",25,609
"8","Scotland","S92000003","Nation","2020-04-21",12,915
"9","Northern Ireland","N92000002","Nation","2020-04-21",13,207
"10","England","E92000001","Nation","2020-04-21",778,15606
"11","United Kingdom","K02000001","UK","2020-04-20",449,16509
"12","Wales","W92000004","Nation","2020-04-20",9,584
"13","Scotland","S92000003","Nation","2020-04-20",10,903
"14","Northern Ireland","N92000002","Nation","2020-04-20",1,194
"15","England","E92000001","Nation","2020-04-20",429,14828
"16","United Kingdom","K02000001","UK","2020-04-19",596,16060
"17","Wales","W92000004","Nation","2020-04-19",41,575
"18","Scotland","S92000003","Nation","2020-04-19",56,893
"19","Northern Ireland","N92000002","Nation","2020-04-19",17,193
"20","England","E92000001","Nation","2020-04-19",482,14399
"21","United Kingdom","K02000001","UK","2020-04-18",888,15464
"22","Wales","W92000004","Nation","2020-04-18",28,534
"23","Scotland","S92000003","Nation","2020-04-18",58,837
"24","Northern Ireland","N92000002","Nation","2020-04-18",18,176
"25","England","E92000001","Nation","2020-04-18",784,13917
"26","United Kingdom","K02000001","UK","2020-04-17",847,14576
"27","Wales","W92000004","Nation","2020-04-17",11,506
"28","Scotland","S92000003","Nation","2020-04-17",80,779
"29","Northern Ireland","N92000002","Nation","2020-04-17",18,158
"30","England","E92000001","Nation","2020-04-17",738,13133
"31","United Kingdom","K02000001","UK","2020-04-16",861,13729
"32","Wales","W92000004","Nation","2020-04-16",32,495
"33","Scotland","S92000003","Nation","2020-04-16",84,699
"34","Northern Ireland","N92000002","Nation","2020-04-16",6,140
"35","England","E92000001","Nation","2020-04-16",739,12395
"36","United Kingdom","K02000001","UK","2020-04-15",761,12868
"37","Wales","W92000004","Nation","2020-04-15",60,463
"38","Scotland","S92000003","Nation","2020-04-15",40,615
"39","Northern Ireland","N92000002","Nation","2020-04-15",10,134
"40","England","E92000001","Nation","2020-04-15",651,11656
"41","United Kingdom","K02000001","UK","2020-04-14",778,12107
"42","Wales","W92000004","Nation","2020-04-14",19,403
"43","Scotland","S92000003","Nation","2020-04-14",9,575
"44","Northern Ireland","N92000002","Nation","2020-04-14",6,124
"45","England","E92000001","Nation","2020-04-14",744,11005
"46","United Kingdom","K02000001","UK","2020-04-13",717,11329
"47","Wales","W92000004","Nation","2020-04-13",15,384
"48","Scotland","S92000003","Nation","2020-04-13",24,566
"49","Northern Ireland","N92000002","Nation","2020-04-13",11,118
"50","England","E92000001","Nation","2020-04-13",667,10261
"51","United Kingdom","K02000001","UK","2020-04-12",737,10612
"52","Wales","W92000004","Nation","2020-04-12",18,369
"53","Scotland","S92000003","Nation","2020-04-12",47,542
"54","Northern Ireland","N92000002","Nation","2020-04-12",15,107
"55","England","E92000001","Nation","2020-04-12",657,9594
"56","United Kingdom","K02000001","UK","2020-04-11",917,9875
"57","Wales","W92000004","Nation","2020-04-11",36,351
"58","Scotland","S92000003","Nation","2020-04-11",48,495
"59","Northern Ireland","N92000002","Nation","2020-04-11",10,92
"60","England","E92000001","Nation","2020-04-11",823,8937
"61","United Kingdom","K02000001","UK","2020-04-10",980,8958
"62","Wales","W92000004","Nation","2020-04-10",29,315
"63","Scotland","S92000003","Nation","2020-04-10",81,447
"64","Northern Ireland","N92000002","Nation","2020-04-10",4,82
"65","England","E92000001","Nation","2020-04-10",866,8114
"66","United Kingdom","K02000001","UK","2020-04-09",881,7978
"67","Wales","W92000004","Nation","2020-04-09",41,286
"68","Scotland","S92000003","Nation","2020-04-09",70,366
"69","Northern Ireland","N92000002","Nation","2020-04-09",5,78
"70","England","E92000001","Nation","2020-04-09",765,7248
"71","United Kingdom","K02000001","UK","2020-04-08",938,7097
"72","Wales","W92000004","Nation","2020-04-08",33,245
"73","Scotland","S92000003","Nation","2020-04-08",74,296
"74","Northern Ireland","N92000002","Nation","2020-04-08",3,73
"75","England","E92000001","Nation","2020-04-08",828,6483
"76","United Kingdom","K02000001","UK","2020-04-07",786,6159
"77","Wales","W92000004","Nation","2020-04-07",19,212
"78","Scotland","S92000003","Nation","2020-04-07",2,222
"79","Northern Ireland","N92000002","Nation","2020-04-07",7,70
"80","England","E92000001","Nation","2020-04-07",758,5655
"81","United Kingdom","K02000001","UK","2020-04-06",439,5373
"82","Wales","W92000004","Nation","2020-04-06",27,193
"83","Scotland","S92000003","Nation","2020-04-06",2,220
"84","Northern Ireland","N92000002","Nation","2020-04-06",7,63
"85","England","E92000001","Nation","2020-04-06",403,4897
"86","United Kingdom","K02000001","UK","2020-04-05",621,4934
"87","Wales","W92000004","Nation","2020-04-05",12,166
"88","Scotland","S92000003","Nation","2020-04-05",46,218
"89","Northern Ireland","N92000002","Nation","2020-04-05",8,56
"90","England","E92000001","Nation","2020-04-05",555,4494
"91","United Kingdom","K02000001","UK","2020-04-04",708,4313
"92","Wales","W92000004","Nation","2020-04-04",13,154
"93","Scotland","S92000003","Nation","2020-04-04",46,172
"94","Northern Ireland","N92000002","Nation","2020-04-04",12,48
"95","England","E92000001","Nation","2020-04-04",637,3939
"96","United Kingdom","K02000001","UK","2020-04-03",684,3605
"97","Wales","W92000004","Nation","2020-04-03",24,141
"98","Scotland","S92000003","Nation","2020-04-03",50,126
"99","Northern Ireland","N92000002","Nation","2020-04-03",6,36
"100","England","E92000001","Nation","2020-04-03",604,3302
"101","United Kingdom","K02000001","UK","2020-04-02",569,2921
"102","Wales","W92000004","Nation","2020-04-02",19,117
"103","Scotland","S92000003","Nation","2020-04-02",16,76
"104","Northern Ireland","N92000002","Nation","2020-04-02",2,30
"105","England","E92000001","Nation","2020-04-02",532,2698
"106","United Kingdom","K02000001","UK","2020-04-01",563,2352
"107","Wales","W92000004","Nation","2020-04-01",29,98
"108","Scotland","S92000003","Nation","2020-04-01",13,60
"109","Northern Ireland","N92000002","Nation","2020-04-01",6,28
"110","England","E92000001","Nation","2020-04-01",515,2166
"111","United Kingdom","K02000001","UK","2020-03-31",381,1789
