"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"1","Wales","W92000004","Nation","2020-05-10",12,1111
"2","Scotland","S92000003","Nation","2020-05-10",36,1847
"3","Northern Ireland","N92000002","Nation","2020-05-10",3,430
"4","United Kingdom","K02000001","UK","2020-05-10",269,31855
"5","England","E92000001","Nation","2020-05-10",217,28467
"6","Wales","W92000004","Nation","2020-05-09",9,1099
"7","Scotland","S92000003","Nation","2020-05-09",49,1811
"8","Northern Ireland","N92000002","Nation","2020-05-09",5,427
"9","United Kingdom","K02000001","UK","2020-05-09",346,31587
"10","England","E92000001","Nation","2020-05-09",283,28250
"11","Wales","W92000004","Nation","2020-05-08",28,1090
"12","Scotland","S92000003","Nation","2020-05-08",59,1762
"13","Northern Ireland","N92000002","Nation","2020-05-08",4,422
"14","United Kingdom","K02000001","UK","2020-05-08",626,31241
"15","England","E92000001","Nation","2020-05-08",535,27967
"16","Wales","W92000004","Nation","2020-05-07",18,1062
"17","Scotland","S92000003","Nation","2020-05-07",83,1703
"18","Northern Ireland","N92000002","Nation","2020-05-07",14,418
"19","United Kingdom","K02000001","UK","2020-05-07",539,30615
"20","England","E92000001","Nation","2020-05-07",424,27432
"21","Wales","W92000004","Nation","2020-05-06",21,1044
"22","Scotland","S92000003","Nation","2020-05-06",44,1620
"23","Northern Ireland","N92000002","Nation","2020-05-06",17,404
"24","United Kingdom","K02000001","UK","2020-05-06",649,30076
"25","England","E92000001","Nation","2020-05-06",567,27008
"26","Wales","W92000004","Nation","2020-05-05",26,1023
"27","Scotland","S92000003","Nation","2020-05-05",5,1576
"28","Northern Ireland","N92000002","Nation","2020-05-05",6,387
"29","United Kingdom","K02000001","UK","2020-05-05",693,29427
"30","England","E92000001","Nation","2020-05-05",656,26441
"31","Wales","W92000004","Nation","2020-05-04",14,997
"32","Scotland","S92000003","Nation","2020-05-04",12,1571
"33","Northern Ireland","N92000002","Nation","2020-05-04",5,381
"34","United Kingdom","K02000001","UK","2020-05-04",288,28734
"35","England","E92000001","Nation","2020-05-04",257,25785
"36","Wales","W92000004","Nation","2020-05-03",14,983
"37","Scotland","S92000003","Nation","2020-05-03",44,1559
"38","Northern Ireland","N92000002","Nation","2020-05-03",11,376
"39","United Kingdom","K02000001","UK","2020-05-03",315,28446
"40","England","E92000001","Nation","2020-05-03",246,25528
"41","Wales","W92000004","Nation","2020-05-02",44,969
"42","Scotland","S92000003","Nation","2020-05-02",40,1515
"43","Northern Ireland","N92000002","Nation","2020-05-02",18,365
"44","United Kingdom","K02000001","UK","2020-05-02",621,28131
"45","England","E92000001","Nation","2020-05-02",519,25282
"46","Wales","W92000004","Nation","2020-05-01",17,925
"47","Scotland","S92000003","Nation","2020-05-01",60,1475
"48","Northern Ireland","N92000002","Nation","2020-05-01",9,347
"49","United Kingdom","K02000001","UK","2020-05-01",739,27510
"50","England","E92000001","Nation","2020-05-01",653,24763
"51","Wales","W92000004","Nation","2020-04-30",22,908
"52","Scotland","S92000003","Nation","2020-04-30",83,1415
"53","Northern Ireland","N92000002","Nation","2020-04-30",9,338
"54","United Kingdom","K02000001","UK","2020-04-30",674,26771
"55","England","E92000001","Nation","2020-04-30",560,24110
"56","Wales","W92000004","Nation","2020-04-29",73,886
"57","Scotland","S92000003","Nation","2020-04-29",70,1332
"58","Northern Ireland","N92000002","Nation","2020-04-29",20,329
"59","United Kingdom","K02000001","UK","2020-04-29",795,26097
"60","England","E92000001","Nation","2020-04-29",632,23550
"61","Wales","W92000004","Nation","2020-04-28",17,813
"62","Scotland","S92000003","Nation","2020-04-28",13,1262
"63","Northern Ireland","N92000002","Nation","2020-04-28",10,309
"64","United Kingdom","K02000001","UK","2020-04-28",909,25302
"65","England","E92000001","Nation","2020-04-28",869,22918
"66","Wales","W92000004","Nation","2020-04-27",8,796
"67","Scotland","S92000003","Nation","2020-04-27",18,1249
"68","Northern Ireland","N92000002","Nation","2020-04-27",5,299
"69","United Kingdom","K02000001","UK","2020-04-27",338,24393
"70","England","E92000001","Nation","2020-04-27",307,22049
"71","Wales","W92000004","Nation","2020-04-26",14,788
"72","Scotland","S92000003","Nation","2020-04-26",47,1231
"73","Northern Ireland","N92000002","Nation","2020-04-26",16,294
"74","United Kingdom","K02000001","UK","2020-04-26",420,24055
"75","England","E92000001","Nation","2020-04-26",343,21742
"76","Wales","W92000004","Nation","2020-04-25",23,774
"77","Scotland","S92000003","Nation","2020-04-25",64,1184
"78","Northern Ireland","N92000002","Nation","2020-04-25",15,278
"79","United Kingdom","K02000001","UK","2020-04-25",843,23635
"80","England","E92000001","Nation","2020-04-25",741,21399
"81","Wales","W92000004","Nation","2020-04-24",110,751
"82","Scotland","S92000003","Nation","2020-04-24",58,1120
"83","Northern Ireland","N92000002","Nation","2020-04-24",13,263
"84","United Kingdom","K02000001","UK","2020-04-24",1005,22792
"85","England","E92000001","Nation","2020-04-24",824,20658
"86","Wales","W92000004","Nation","2020-04-23",17,641
"87","Scotland","S92000003","Nation","2020-04-23",77,1062
"88","Northern Ireland","N92000002","Nation","2020-04-23",30,250
"89","United Kingdom","K02000001","UK","2020-04-23",727,21787
"90","England","E92000001","Nation","2020-04-23",603,19834
"91","Wales","W92000004","Nation","2020-04-22",15,624
"92","Scotland","S92000003","Nation","2020-04-22",70,985
"93","Northern Ireland","N92000002","Nation","2020-04-22",13,220
"94","United Kingdom","K02000001","UK","2020-04-22",837,21060
"95","England","E92000001","Nation","2020-04-22",739,19231
"96","Wales","W92000004","Nation","2020-04-21",25,609
"97","Scotland","S92000003","Nation","2020-04-21",12,915
"98","Northern Ireland","N92000002","Nation","2020-04-21",13,207
"99","United Kingdom","K02000001","UK","2020-04-21",1172,20223
"100","England","E92000001","Nation","2020-04-21",1122,18492
"101","Wales","W92000004","Nation","2020-04-20",9,584
"102","Scotland","S92000003","Nation","2020-04-20",10,903
"103","Northern Ireland","N92000002","Nation","2020-04-20",1,194
"104","United Kingdom","K02000001","UK","2020-04-20",559,19051
"105","England","E92000001","Nation","2020-04-20",539,17370
"106","Wales","W92000004","Nation","2020-04-19",41,575
"107","Scotland","S92000003","Nation","2020-04-19",56,893
"108","Northern Ireland","N92000002","Nation","2020-04-19",17,193
"109","United Kingdom","K02000001","UK","2020-04-19",498,18492
"110","England","E92000001","Nation","2020-04-19",384,16831
"111","Wales","W92000004","Nation","2020-04-18",28,534
"112","Scotland","S92000003","Nation","2020-04-18",58,837
"113","Northern Ireland","N92000002","Nation","2020-04-18",18,176
"114","United Kingdom","K02000001","UK","2020-04-18",1115,17994
"115","England","E92000001","Nation","2020-04-18",1011,16447
"116","Wales","W92000004","Nation","2020-04-17",11,506
"117","Scotland","S92000003","Nation","2020-04-17",80,779
"118","Northern Ireland","N92000002","Nation","2020-04-17",18,158
"119","United Kingdom","K02000001","UK","2020-04-17",935,16879
"120","England","E92000001","Nation","2020-04-17",826,15436
"121","Wales","W92000004","Nation","2020-04-16",32,495
"122","Scotland","S92000003","Nation","2020-04-16",84,699
"123","Northern Ireland","N92000002","Nation","2020-04-16",6,140
"124","United Kingdom","K02000001","UK","2020-04-16",1029,15944
"125","England","E92000001","Nation","2020-04-16",907,14610
"126","Wales","W92000004","Nation","2020-04-15",60,463
"127","Scotland","S92000003","Nation","2020-04-15",40,615
"128","Northern Ireland","N92000002","Nation","2020-04-15",10,134
"129","United Kingdom","K02000001","UK","2020-04-15",842,14915
"130","England","E92000001","Nation","2020-04-15",732,13703
"131","Wales","W92000004","Nation","2020-04-14",19,403
"132","Scotland","S92000003","Nation","2020-04-14",9,575
"133","Northern Ireland","N92000002","Nation","2020-04-14",6,124
"134","United Kingdom","K02000001","UK","2020-04-14",1044,14073
"135","England","E92000001","Nation","2020-04-14",1010,12971
"136","Wales","W92000004","Nation","2020-04-13",15,384
"137","Scotland","S92000003","Nation","2020-04-13",24,566
"138","Northern Ireland","N92000002","Nation","2020-04-13",11,118
"139","United Kingdom","K02000001","UK","2020-04-13",744,13029
"140","England","E92000001","Nation","2020-04-13",694,11961
"141","Wales","W92000004","Nation","2020-04-12",18,369
"142","Scotland","S92000003","Nation","2020-04-12",47,542
"143","Northern Ireland","N92000002","Nation","2020-04-12",15,107
